self-check: OK, replay reproduces every published 0.2-1.2 m M1

  time  tgt     off_rep1 (off)        on_rep1 (on)        off_rep2 (off)        on_rep2 (on)        off_rep3 (off)        on_rep3 (on)        off_rep4 (off)        on_rep4 (on)        off_rep5 (off)        on_rep5 (on)   
              0.2-1.2 -> 0.2-4.0   0.2-1.2 -> 0.2-4.0   0.2-1.2 -> 0.2-4.0   0.2-1.2 -> 0.2-4.0   0.2-1.2 -> 0.2-4.0   0.2-1.2 -> 0.2-4.0   0.2-1.2 -> 0.2-4.0   0.2-1.2 -> 0.2-4.0   0.2-1.2 -> 0.2-4.0   0.2-1.2 -> 0.2-4.0
 600 s   T1     0.495 -> 0.796       0.393 -> 0.781       0.475 -> 0.796       0.475 -> 0.776       0.475 -> 0.796       0.475 -> 0.769       0.475 -> 0.796       0.475 -> 0.787       0.475 -> 0.796       0.428 -> 0.793  
 600 s   T2     0.578 -> 0.836       0.580 -> 0.836       0.805 -> 0.836       0.805 -> 0.836       0.805 -> 0.796       0.805 -> 0.836       0.578 -> 0.822       0.846 -> 0.836       0.805 -> 0.791       0.580 -> 0.822  
 600 s   T3     1.000 -> 1.000       1.000 -> 1.000       1.000 -> 1.000       1.000 -> 1.000       1.000 -> 1.000       1.000 -> 1.000       1.000 -> 1.000       1.000 -> 1.000       1.000 -> 1.000       1.000 -> 1.000  

 900 s   T1     0.475 -> 0.796       0.393 -> 0.785       0.475 -> 0.788       0.475 -> 0.776       0.475 -> 0.796       0.475 -> 0.771       0.475 -> 0.796       0.393 -> 0.786       0.475 -> 0.795       0.475 -> 0.782  
 900 s   T2     0.805 -> 0.836       0.805 -> 0.836       0.805 -> 0.836       0.846 -> 0.838       0.805 -> 0.831       0.805 -> 0.836       0.805 -> 0.794       0.805 -> 0.836       0.805 -> 0.836       0.580 -> 0.836  
 900 s   T3     1.000 -> 1.000       0.773 -> 1.000       1.000 -> 1.000       1.000 -> 1.000       1.000 -> 1.000       1.000 -> 1.000       1.000 -> 1.000       0.773 -> 1.000       1.000 -> 1.000       1.000 -> 1.000  

1200 s   T1     0.475 -> 0.795       0.475 -> 0.794       0.475 -> 0.795       0.475 -> 0.785       0.475 -> 0.796       0.475 -> 0.785       0.475 -> 0.781       0.393 -> 0.791       0.475 -> 0.795       0.475 -> 0.793  
1200 s   T2     0.805 -> 0.836       0.805 -> 0.836       0.805 -> 0.836       0.846 -> 0.838       0.805 -> 0.831       0.805 -> 0.836       0.805 -> 0.836       0.805 -> 0.836       0.805 -> 0.823       0.580 -> 0.836  
1200 s   T3     1.000 -> 1.000       1.000 -> 1.000       1.000 -> 1.000       0.773 -> 1.000       1.000 -> 1.000       1.000 -> 1.000       1.000 -> 1.000       0.773 -> 1.000       1.000 -> 1.000       1.000 -> 1.000  

1500 s   T1     0.475 -> 0.795       0.475 -> 0.791       0.475 -> 0.793       0.475 -> 0.785       0.475 -> 0.796       0.475 -> 0.785       0.393 -> 0.796       0.393 -> 0.791       0.475 -> 0.795       0.475 -> 0.796  
1500 s   T2     0.805 -> 0.836       0.805 -> 0.836       0.805 -> 0.836       0.846 -> 0.838       0.805 -> 0.831       0.805 -> 0.836       0.805 -> 0.789       0.805 -> 0.836       0.805 -> 0.823       0.580 -> 0.836  
1500 s   T3     1.000 -> 1.000       1.000 -> 1.000       1.000 -> 1.000       0.773 -> 1.000       1.000 -> 1.000       1.000 -> 1.000       1.000 -> 1.000       0.773 -> 1.000       1.000 -> 1.000       1.000 -> 1.000  

