step,sim_time_sec,total_observed_voxels,frontier_voxels,distance_traveled,selected_score,plan_time_ms,mean_eig,mean_entropy,mean_variance,mean_info_gain,mean_path_cost,selected_info_gain,selected_path_cost,selected_utility,coord_active_peers,rejected_by_minpos,rejected_by_unreachable,phase,target_id,vantage_index,n_vantages_valid,vantage_los_clear,dwell_sec,prox_hold_count,prox_hold_total_sec,state,reconnect_range_to_goal_m,reconnect_elapsed_sec,unknown_fraction,coverage_source,info_gain_std,sep_peer_dist_m,sep_discount,sep_reordered,sep_eligible_peers,plan_cand_total,plan_rej_close,plan_rej_map,plan_rej_unreach,plan_rej_blacklist,plan_rej_minpos,plan_stall_ticks,pursue_peer,pursue_quarry_live,team_complete,plan_rej_visited
0,18.520000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,-1,none,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,25.000000,70044,62640,0.00644834,0,0,0.00224315,0.056995,0.000251679,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.770156,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,30.000000,71029,63406,0.0114707,0,0,0.00201844,0.058107,0.000224525,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.768456,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,35.000000,72189,64367,0.0164732,0,0,0.00197741,0.0613734,0.000233294,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.764865,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,40.000000,74910,66864,0.0214556,0,0,0.00327711,0.073325,0.000513001,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.754409,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,45.000000,75955,67976,0.0264164,0,0,0.00193933,0.0667193,0.000243756,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.752457,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,50.000000,80660,71401,0.0296928,0,0,0.00277994,0.0804296,0.000399327,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.738473,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,55.000000,92903,81441,0.0352266,0,0,0.00381488,0.107119,0.00055825,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.70005,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,60.000000,98296,85652,0.0386277,0,0,0.00365199,0.117605,0.000592499,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.682792,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,65.000000,103894,90127,0.0406825,0,0,0.00349422,0.131845,0.000561053,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.666982,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,70.000000,105189,90917,0.0409155,0,0,0.00327841,0.135905,0.000531949,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.662006,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,75.000000,106285,91787,0.0409348,0,0,0.00317877,0.137659,0.000519167,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.658919,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,80.000000,106934,92315,0.0593877,0,0,0.00312177,0.139874,0.000516472,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.658037,coverage_map,0,-1,1,-1,0,57,4,0,0,0,0,0,,-1,1,0
0,85.000000,119411,102410,0.348695,0,0,0.00625042,0.171249,0.00126114,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.608529,coverage_map,0,-1,1,-1,0,57,4,0,0,0,0,0,,-1,1,0
0,90.000000,127901,109900,1.34052,0,0,0.00634723,0.17816,0.0012431,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.602041,coverage_map,0,-1,1,-1,0,57,4,0,0,0,0,0,,-1,1,0
0,95.000000,149940,129692,3.57879,0,0,0.00729571,0.179579,0.00137297,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.584845,coverage_map,0,-1,1,-1,0,57,4,0,0,0,0,0,,-1,1,0
0,100.000000,162413,140692,5.79526,0,0,0.00637816,0.170761,0.00117956,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.565193,coverage_map,0,-1,1,-1,0,57,4,0,0,0,0,0,,-1,1,0
0,105.000000,180749,157011,7.90134,0,0,0.00674592,0.172408,0.00123869,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.542202,coverage_map,0,-1,1,-1,0,57,4,0,0,0,0,0,,-1,1,0
0,107.400000,180749,157011,8.18472,5931.88,400,0.00674592,0.172408,0.00123869,15776.6,13.4727,16760.4,7.88335,5931.88,1,0,0,explore,-1,-1,0,0,0,0,0,LOG_STEP,-1,-1,0.517133,coverage_map,1696.34,-1,1,-1,0,57,4,0,0,0,0,0,,-1,1,0
1,110.000000,200268,174665,8.47657,0,0,0.00801306,0.176755,0.00157059,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.506362,coverage_map,0,-1,1,-1,0,71,1,0,0,2,0,0,,-1,1,2
1,115.000000,224711,196671,10.594,0,0,0.00855268,0.179515,0.00167709,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.448287,coverage_map,0,-1,1,-1,0,71,1,0,0,2,0,0,,-1,1,2
1,120.000000,241378,211854,12.8933,0,0,0.00824516,0.17623,0.00159866,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.41906,coverage_map,0,-1,1,-1,0,71,1,0,0,2,0,0,,-1,1,2
1,125.000000,256716,226077,14.9115,0,0,0.00768027,0.171238,0.00144562,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.399534,coverage_map,0,-1,1,-1,0,71,1,0,0,2,0,0,,-1,1,2
1,128.100000,256716,226077,15.4093,5977.03,400,0.00768027,0.171238,0.00144562,14480.9,16.9639,16750.5,7.75391,5977.03,1,0,0,explore,-1,-1,0,0,0,0,0,LOG_STEP,-1,-1,0.390527,coverage_map,2381.82,-1,1,-1,0,71,1,0,0,2,0,0,,-1,1,2
2,130.000000,268317,236999,15.4397,0,0,0.00675524,0.164431,0.00123253,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.387314,coverage_map,0,-1,1,-1,0,83,1,0,0,4,0,0,,-1,1,4
2,135.000000,281170,248653,16.7075,0,0,0.00667003,0.164583,0.00118939,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.354308,coverage_map,0,-1,1,-1,0,83,1,0,0,4,0,0,,-1,1,4
2,140.000000,289113,255857,18.8497,0,0,0.00631621,0.161681,0.00112786,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.343915,coverage_map,0,-1,1,-1,0,83,1,0,0,4,0,0,,-1,1,4
2,145.000000,297301,263230,21.1473,0,0,0.00606881,0.16075,0.0010864,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.322058,coverage_map,0,-1,1,-1,0,83,1,0,0,4,0,0,,-1,1,4
2,150.000000,305949,271064,22.6153,0,0,0.00578804,0.15881,0.00102387,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,INTEGRATE,-1,-1,0.312043,coverage_map,0,-1,1,-1,0,83,1,0,0,4,0,0,,-1,1,4
2,150.200000,305949,271064,22.6155,5597.92,500,0.00578804,0.15881,0.00102387,13962.4,20.5167,14692,6.78822,5597.92,1,0,0,explore,-1,-1,0,0,0,0,0,LOG_STEP,-1,-1,0.310406,coverage_map,2273.56,-1,1,-1,0,83,1,0,0,4,0,0,,-1,1,4
3,155.000000,313491,277811,23.0744,0,0,0.0056061,0.157506,0.00097798,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.287478,coverage_map,0,-1,1,-1,0,87,1,0,0,3,0,0,,-1,1,3
3,160.000000,322379,285768,25.2264,0,0,0.00565232,0.158316,0.00101536,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.253275,coverage_map,0,-1,1,-1,0,87,1,0,0,3,0,0,,-1,1,3
3,165.000000,331284,293758,27.753,0,0,0.00576276,0.160054,0.0010481,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.224742,coverage_map,0,-1,1,-1,0,87,1,0,0,3,0,0,,-1,1,3
3,170.000000,338595,300587,29.6529,0,0,0.00541123,0.157885,0.000967337,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,INTEGRATE,-1,-1,0.215608,coverage_map,0,-1,1,-1,0,87,1,0,0,3,0,0,,-1,1,3
3,171.200000,338595,300587,29.6791,5491.35,600,0.00541123,0.157885,0.000967337,13621.4,23.6543,14412.3,6.78822,5491.35,1,0,0,explore,-1,-1,0,0,0,0,0,LOG_STEP,-1,-1,0.210254,coverage_map,2303.34,-1,1,-1,0,87,1,0,0,3,0,0,,-1,1,3
4,175.000000,345490,306880,30.6257,0,0,0.00528035,0.156529,0.000942323,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.205971,coverage_map,0,-1,1,-1,0,94,1,0,0,3,0,0,,-1,1,3
4,180.000000,349833,311017,32.5601,0,0,0.00499327,0.154415,0.00088047,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.198665,coverage_map,0,-1,1,-1,0,94,1,0,0,3,0,0,,-1,1,3
4,185.000000,353573,314348,34.6441,0,0,0.00497748,0.15459,0.00087822,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.187138,coverage_map,0,-1,1,-1,0,94,1,0,0,3,0,0,,-1,1,3
4,190.000000,358261,318627,36.7794,0,0,0.00487583,0.153834,0.000854387,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.186256,coverage_map,0,-1,1,-1,0,94,1,0,0,3,0,0,,-1,1,3
4,193.400000,358261,318627,37.4058,5397.28,600,0.00487583,0.153834,0.000854387,13516.4,22.1227,15851.4,8.52548,5397.28,1,0,0,explore,-1,-1,0,0,0,0,0,LOG_STEP,-1,-1,0.184177,coverage_map,2194.01,-1,1,-1,0,94,1,0,0,3,0,0,,-1,1,3
5,195.000000,362413,322513,37.4568,0,0,0.00471823,0.152692,0.000816834,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.183862,coverage_map,0,-1,1,-1,0,95,1,0,0,3,2,0,,-1,1,3
5,200.000000,365361,325360,39.1101,0,0,0.00472887,0.153132,0.000825936,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.176934,coverage_map,0,-1,1,-1,0,95,1,0,0,3,2,0,,-1,1,3
5,205.000000,369173,329112,41.1862,0,0,0.00463605,0.152001,0.000801071,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.175422,coverage_map,0,-1,1,-1,0,95,1,0,0,3,2,0,,-1,1,3
5,210.000000,375256,335042,43.4822,0,0,0.00466774,0.151921,0.000807005,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.165218,coverage_map,0,-1,1,-1,0,95,1,0,0,3,2,0,,-1,1,3
5,213.600000,375256,335042,44.2196,5471.51,600,0.00466774,0.151921,0.000807005,13584.3,21.3754,14840.7,7.25685,5471.51,1,2,0,explore,-1,-1,0,0,0,0,0,LOG_STEP,-1,-1,0.155392,coverage_map,2237.3,-1,1,-1,0,95,1,0,0,3,2,0,,-1,1,3
6,215.000000,379857,339528,44.2337,0,0,0.00453464,0.150513,0.000779408,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.154069,coverage_map,0,-1,1,-1,0,97,1,0,0,4,0,0,,-1,1,4
6,220.000000,381451,340970,45.5035,0,0,0.00442801,0.149563,0.000755922,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.14607,coverage_map,0,-1,1,-1,0,97,1,0,0,4,0,0,,-1,1,4
6,225.000000,383139,342573,45.8412,0,0,0.0043279,0.148559,0.000740673,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.145062,coverage_map,0,-1,1,-1,0,97,1,0,0,5,0,0,,-1,1,5
6,230.000000,383590,343039,47.1888,0,0,0.00427079,0.147927,0.000731807,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.14418,coverage_map,0,-1,1,-1,0,97,1,0,0,5,0,0,,-1,1,5
6,235.000000,383828,343248,49.5451,0,0,0.0042527,0.147789,0.000730537,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.14418,coverage_map,0,-1,1,-1,0,97,1,0,0,5,0,0,,-1,1,5
6,240.000000,384621,344073,51.8372,0,0,0.00423278,0.147688,0.000726212,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.144054,coverage_map,0,-1,1,-1,0,97,1,0,0,5,0,0,,-1,1,5
6,245.000000,385719,345206,54.1815,0,0,0.00420422,0.147452,0.000720553,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.143928,coverage_map,0,-1,1,-1,0,97,1,0,0,5,0,0,,-1,1,5
6,250.000000,386927,346392,56.1406,0,0,0.00419504,0.14731,0.000720057,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,INTEGRATE,-1,-1,0.143928,coverage_map,0,-1,1,-1,0,97,1,0,0,5,0,0,,-1,1,5
6,251.700000,386927,346392,56.273,4631.96,700,0.00419504,0.14731,0.000720057,13438.7,24.5134,15523.2,11.1314,4631.96,1,0,0,explore,-1,-1,0,0,0,0,0,LOG_STEP,-1,-1,0.143928,coverage_map,2301.18,-1,1,-1,0,97,1,0,0,5,0,0,,-1,1,5
7,255.000000,388257,347671,56.7443,0,0,0.00416315,0.14696,0.000713167,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.143487,coverage_map,0,-1,1,-1,0,97,1,0,0,3,0,0,,-1,1,3
7,260.000000,390711,350011,59.1371,0,0,0.00412186,0.146409,0.00070331,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.141282,coverage_map,0,-1,1,-1,0,97,1,0,0,3,0,0,,-1,1,3
7,265.000000,392761,351812,61.2062,0,0,0.0039878,0.145379,0.0006712,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.14059,coverage_map,0,-1,1,-1,0,97,1,0,0,3,0,0,,-1,1,3
7,270.000000,394228,353186,63.1387,0,0,0.00398571,0.144988,0.000681105,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,INTEGRATE,-1,-1,0.138574,coverage_map,0,-1,1,-1,0,97,1,0,0,3,0,0,,-1,1,3
7,271.800000,394228,353186,63.2821,6444.91,700,0.00398571,0.144988,0.000681105,13515,22.0335,17399.1,7.18822,6444.91,1,0,0,explore,-1,-1,0,0,0,0,0,LOG_STEP,-1,-1,0.134606,coverage_map,2382.31,-1,1,-1,0,97,1,0,0,3,0,0,,-1,1,3
8,275.000000,395412,354171,64.0449,0,0,0.00388571,0.144419,0.000659439,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.133787,coverage_map,0,-1,1,-1,0,97,1,0,0,4,0,0,,-1,1,4
8,280.000000,396654,355325,66.1562,0,0,0.00379334,0.144006,0.000639999,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.132401,coverage_map,0,-1,1,-1,0,97,1,0,0,4,0,0,,-1,1,4
8,285.000000,398289,356988,68.7328,0,0,0.00370639,0.14362,0.000621468,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.12837,coverage_map,0,-1,1,-1,0,97,1,0,0,4,0,0,,-1,1,4
8,290.000000,399559,358118,70.5914,0,0,0.00362507,0.143098,0.000606597,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,INTEGRATE,-1,-1,0.124213,coverage_map,0,-1,1,-1,0,97,1,0,0,4,0,0,,-1,1,4
8,290.900000,399559,358118,70.6022,6356.85,700,0.00362507,0.143098,0.000606597,13525.9,20.4785,17355.4,7.35391,6356.85,1,0,0,explore,-1,-1,0,0,0,0,0,LOG_STEP,-1,-1,0.124213,coverage_map,2353.78,-1,1,-1,0,97,1,0,0,4,0,0,,-1,1,4
9,295.000000,400198,358697,71.7465,0,0,0.00359221,0.142826,0.000601678,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.121504,coverage_map,0,-1,1,-1,0,97,1,0,0,5,0,0,,-1,1,5
9,300.000000,401094,359538,73.8462,0,0,0.00356719,0.142857,0.000600147,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.120937,coverage_map,0,-1,1,-1,0,97,1,0,0,5,0,0,,-1,1,5
9,305.000000,402454,360777,75.9525,0,0,0.00353214,0.142749,0.000592327,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.120559,coverage_map,0,-1,1,-1,0,97,1,0,0,5,0,0,,-1,1,5
9,310.000000,404366,362504,77.5753,0,0,0.00345222,0.142216,0.000574285,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,INTEGRATE,-1,-1,0.119111,coverage_map,0,-1,1,-1,0,97,1,0,0,5,0,0,,-1,1,5
