step,sim_time_sec,total_observed_voxels,frontier_voxels,distance_traveled,selected_score,plan_time_ms,mean_eig,mean_entropy,mean_variance,mean_info_gain,mean_path_cost,selected_info_gain,selected_path_cost,selected_utility,coord_active_peers,rejected_by_minpos,rejected_by_unreachable,phase,target_id,vantage_index,n_vantages_valid,vantage_los_clear,dwell_sec,prox_hold_count,prox_hold_total_sec,state,reconnect_range_to_goal_m,reconnect_elapsed_sec,unknown_fraction,coverage_source,info_gain_std,sep_peer_dist_m,sep_discount,sep_reordered,sep_eligible_peers,plan_cand_total,plan_rej_close,plan_rej_map,plan_rej_unreach,plan_rej_blacklist,plan_rej_minpos,plan_stall_ticks,pursue_peer,pursue_quarry_live,team_complete,plan_rej_visited
0,24.000000,69549,62306,0.00488896,0,0,0.00236967,0.0558461,0.000273587,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.770912,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,29.000000,70696,63194,0.00987756,0,0,0.00217332,0.0578706,0.000250746,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.769085,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,34.000000,71600,63963,0.0148661,0,0,0.00197128,0.0593117,0.00023759,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.76707,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,39.000000,72842,65104,0.0198547,0,0,0.00196279,0.0627396,0.000242801,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.763291,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,44.000000,75561,67653,0.0248466,0,0,0.00203479,0.0660524,0.000243546,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.753023,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,49.000000,76988,68841,0.0292517,0,0,0.0020798,0.0688777,0.000270799,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.750441,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,54.000000,85269,75202,0.0347732,0,0,0.00326804,0.0930892,0.000506032,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.725309,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,59.000000,94693,82889,0.0383447,0,0,0.00334199,0.107949,0.000518534,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.6952,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,64.000000,101474,88280,0.0435533,0,0,0.00349181,0.125809,0.000558597,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.673784,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,69.000000,104627,90760,0.0472108,0,0,0.00325377,0.133546,0.000522818,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.664777,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,74.000000,105809,91578,0.0524635,0,0,0.00308814,0.136913,0.000493101,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.660116,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,79.000000,106599,92124,0.0560304,0,0,0.00301538,0.138039,0.000486818,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.658604,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,84.000000,118431,101706,0.36886,0,0,0.00665561,0.168785,0.00137874,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.609851,coverage_map,0,-1,1,-1,0,57,2,0,0,0,0,0,,-1,1,0
0,89.000000,126622,108699,2.38159,0,0,0.00654181,0.179035,0.00130479,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.596687,coverage_map,0,-1,1,-1,0,57,2,0,0,0,0,0,,-1,1,0
0,94.000000,144537,124742,4.70546,0,0,0.00735626,0.18187,0.00143167,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.585286,coverage_map,0,-1,1,-1,0,57,2,0,0,0,0,0,,-1,1,0
0,96.600000,144537,124742,5.04118,6852.31,400,0.00735626,0.18187,0.00143167,15821.6,13.5715,15326.1,4.90252,6852.31,1,0,0,explore,-1,-1,0,0,0,0,0,LOG_STEP,-1,-1,0.577601,coverage_map,1715.82,-1,1,-1,0,57,2,0,0,0,0,0,,-1,1,0
1,99.000000,160272,139103,5.07498,0,0,0.00620321,0.169204,0.00113203,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.57483,coverage_map,0,-1,1,-1,0,68,1,0,0,2,0,0,,-1,1,2
