mount,orient,d_set_m,scan,d_m,px,py,lx,ly,lz,stamp,n_new,best_all,best_ns,best_rings,best_ring_list,near_n,near_rings,near_d_m,nearxy_n,nearxy_rings,nearxy_d_m,alarm_m3,alarm_m5,alarm_m10,alarm_m20,alarm_xy5,cand_m3,cand_m5,cand_m10,cand_m20,cand_xy5,best
lk0,toward,5.0,0,5.0,0.0,-64.986,0.0,-59.9855,0.8481,65.3,181,181,181,10,3 4 5 6 7 8 9 10 11 12,181,10,0.1,181,10,0.1,0,0,0,0,0,1,1,1,1,1,1
lk0,toward,5.0,1,5.0,0.0,-64.986,0.0,-59.9855,0.8481,65.4,181,181,181,10,3 4 5 6 7 8 9 10 11 12,181,10,0.106,181,10,0.106,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,5.0,2,5.0,0.0,-64.986,0.0,-59.9855,0.8481,65.5,181,181,181,10,3 4 5 6 7 8 9 10 11 12,181,10,0.103,181,10,0.103,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,5.0,3,5.0,0.0,-64.986,0.0,-59.9855,0.8481,65.6,181,181,181,10,3 4 5 6 7 8 9 10 11 12,181,10,0.103,181,10,0.103,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,5.0,4,5.0,0.0,-64.986,0.0,-59.9855,0.8481,65.7,181,181,181,10,3 4 5 6 7 8 9 10 11 12,181,10,0.1,181,10,0.1,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,5.0,5,5.0,0.0,-64.986,0.0,-59.9855,0.8481,65.8,181,181,181,10,3 4 5 6 7 8 9 10 11 12,181,10,0.103,181,10,0.103,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,5.0,6,5.0,0.0,-64.986,0.0,-59.9855,0.8481,65.9,181,181,181,10,3 4 5 6 7 8 9 10 11 12,181,10,0.104,181,10,0.104,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,5.0,7,5.0,0.0,-64.986,0.0,-59.9855,0.8481,66.0,181,181,181,10,3 4 5 6 7 8 9 10 11 12,181,10,0.102,181,10,0.102,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,5.0,8,5.0,0.0,-64.986,0.0,-59.9855,0.8481,66.1,181,181,181,10,3 4 5 6 7 8 9 10 11 12,181,10,0.102,181,10,0.102,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,5.0,9,5.0,0.0,-64.986,0.0,-59.9855,0.8481,66.2,181,181,181,10,3 4 5 6 7 8 9 10 11 12,181,10,0.104,181,10,0.104,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,7.5,0,7.5,0.0,-67.486,0.0,-59.9855,0.8481,66.3,72,72,72,7,5 6 7 8 9 10 11,72,7,0.113,72,7,0.113,0,0,0,0,0,1,1,1,1,1,1
lk0,toward,7.5,1,7.5,0.0,-67.486,0.0,-59.9855,0.8481,66.4,72,72,72,7,5 6 7 8 9 10 11,72,7,0.107,72,7,0.107,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,7.5,2,7.5,0.0,-67.486,0.0,-59.9855,0.8481,66.5,72,72,72,7,5 6 7 8 9 10 11,72,7,0.106,72,7,0.106,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,7.5,3,7.5,0.0,-67.486,0.0,-59.9855,0.8481,66.6,72,72,72,7,5 6 7 8 9 10 11,72,7,0.107,72,7,0.107,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,7.5,4,7.5,0.0,-67.486,0.0,-59.9855,0.8481,66.7,72,72,72,7,5 6 7 8 9 10 11,72,7,0.105,72,7,0.105,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,7.5,5,7.5,0.0,-67.486,0.0,-59.9855,0.8481,66.8,72,72,72,7,5 6 7 8 9 10 11,72,7,0.106,72,7,0.106,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,7.5,6,7.5,0.0,-67.486,0.0,-59.9855,0.8481,66.9,72,72,72,7,5 6 7 8 9 10 11,72,7,0.11,72,7,0.11,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,7.5,7,7.5,0.0,-67.486,0.0,-59.9855,0.8481,67.0,72,72,72,7,5 6 7 8 9 10 11,72,7,0.103,72,7,0.103,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,7.5,8,7.5,0.0,-67.486,0.0,-59.9855,0.8481,67.1,72,72,72,7,5 6 7 8 9 10 11,72,7,0.106,72,7,0.106,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,7.5,9,7.5,0.0,-67.486,0.0,-59.9855,0.8481,67.2,72,72,72,7,5 6 7 8 9 10 11,72,7,0.107,72,7,0.107,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,10.0,0,10.0,0.0,-69.986,0.0,-59.9855,0.8481,67.3,44,44,44,5,6 7 8 9 10,44,5,0.108,44,5,0.108,0,0,0,0,0,1,1,1,1,1,1
lk0,toward,10.0,1,10.0,0.0,-69.986,0.0,-59.9855,0.8481,67.4,44,44,44,5,6 7 8 9 10,44,5,0.11,44,5,0.11,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,10.0,2,10.0,0.0,-69.986,0.0,-59.9855,0.8481,67.5,44,44,44,5,6 7 8 9 10,44,5,0.105,44,5,0.105,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,10.0,3,10.0,0.0,-69.986,0.0,-59.9855,0.8481,67.6,44,44,44,5,6 7 8 9 10,44,5,0.11,44,5,0.11,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,10.0,4,10.0,0.0,-69.986,0.0,-59.9855,0.8481,67.7,44,44,44,5,6 7 8 9 10,44,5,0.112,44,5,0.112,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,10.0,5,10.0,0.0,-69.986,0.0,-59.9855,0.8481,67.8,44,44,44,5,6 7 8 9 10,44,5,0.108,44,5,0.108,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,10.0,6,10.0,0.0,-69.986,0.0,-59.9855,0.8481,67.9,44,44,44,5,6 7 8 9 10,44,5,0.114,44,5,0.114,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,10.0,7,10.0,0.0,-69.986,0.0,-59.9855,0.8481,68.0,44,44,44,5,6 7 8 9 10,44,5,0.109,44,5,0.109,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,10.0,8,10.0,0.0,-69.986,0.0,-59.9855,0.8481,68.1,44,44,44,5,6 7 8 9 10,44,5,0.109,44,5,0.109,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,10.0,9,10.0,0.0,-69.986,0.0,-59.9855,0.8481,68.2,44,44,44,5,6 7 8 9 10,44,5,0.112,44,5,0.112,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,12.5,0,12.5,0.0,-72.486,0.0,-59.9855,0.8481,68.3,23,23,23,4,6 7 8 9,21,4,0.129,23,4,0.088,0,0,0,0,0,1,1,1,1,1,1
lk0,toward,12.5,1,12.5,0.0,-72.486,0.0,-59.9855,0.8481,68.4,23,23,23,4,6 7 8 9,21,4,0.116,23,4,0.078,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,12.5,2,12.5,0.0,-72.486,0.0,-59.9855,0.8481,68.5,23,23,23,4,6 7 8 9,21,4,0.123,23,4,0.083,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,12.5,3,12.5,0.0,-72.486,0.0,-59.9855,0.8481,68.6,23,23,23,4,6 7 8 9,21,4,0.127,23,4,0.087,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,12.5,4,12.5,0.0,-72.486,0.0,-59.9855,0.8481,68.7,23,23,23,4,6 7 8 9,21,4,0.131,23,4,0.09,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,12.5,5,12.5,0.0,-72.486,0.0,-59.9855,0.8481,68.8,23,23,23,4,6 7 8 9,21,4,0.131,23,4,0.091,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,12.5,6,12.5,0.0,-72.486,0.0,-59.9855,0.8481,68.9,23,23,23,4,6 7 8 9,21,4,0.13,23,4,0.09,1,1,1,1,1,1,1,1,1,1,1
