layout,check,how,matches,mulcher_dist_check,mulcher_dist_main,same_step,within_1_step,fa_mulcher_check,fa_mulcher_main
L2,L2-h000-A-r0-chk-away,check-away,L2-h000-A-r0,13.71,14.032,0,1,0,0
L2,L2-h030-B-r0-chk-away,check-away,L2-h030-B-r0,11.115,11.115,1,1,0,0
L2,L2-h060-A-r0-chk-away,check-away,L2-h060-A-r0,14.06,14.06,1,1,0,0
L2,L2-h090-B-r0-chk-away,check-away,L2-h090-B-r0,14.032,14.032,1,1,0,0
L2,L2-h120-A-r0-chk-away,check-away,L2-h120-A-r0,,,1,1,0,0
L2,L2-h150-B-r0-chk-away,check-away,L2-h150-B-r0,13.745,13.745,1,1,0,0
L2,L2-h180-A-r0-chk-away,check-away,L2-h180-A-r0,12.959,12.959,1,1,0,0
L2,L2-h210-B-r0-chk-away,check-away,L2-h210-B-r0,13.823,13.823,1,1,0,0
L2,L2-h240-A-r0-chk-away,check-away,L2-h240-A-r0,13.986,13.986,1,1,0,0
L2,L2-h270-B-r0-chk-away,check-away,L2-h270-B-r0,13.742,13.742,1,1,0,0
L2,L2-h300-A-r0-chk-away,check-away,L2-h300-A-r0,13.968,13.968,1,1,0,0
L2,L2-h330-B-r0-chk-away,check-away,L2-h330-B-r0,13.746,13.746,1,1,0,0
L2,L2-h000-A-r0-chk-absent,check-absent,L2-h000-A-r0,14.032,14.032,1,1,0,0
L2,L2-h030-B-r0-chk-absent,check-absent,L2-h030-B-r0,11.115,11.115,1,1,0,0
L2,L2-h060-A-r0-chk-absent,check-absent,L2-h060-A-r0,14.06,14.06,1,1,0,0
L2,L2-h090-B-r0-chk-absent,check-absent,L2-h090-B-r0,14.032,14.032,1,1,0,0
L2,L2-h120-A-r0-chk-absent,check-absent,L2-h120-A-r0,,,1,1,0,0
L2,L2-h150-B-r0-chk-absent,check-absent,L2-h150-B-r0,13.745,13.745,1,1,0,0
L2,L2-h180-A-r0-chk-absent,check-absent,L2-h180-A-r0,12.959,12.959,1,1,0,0
L2,L2-h210-B-r0-chk-absent,check-absent,L2-h210-B-r0,13.823,13.823,1,1,0,0
L2,L2-h240-A-r0-chk-absent,check-absent,L2-h240-A-r0,13.986,13.986,1,1,0,0
L2,L2-h270-B-r0-chk-absent,check-absent,L2-h270-B-r0,13.742,13.742,1,1,0,0
L2,L2-h300-A-r0-chk-absent,check-absent,L2-h300-A-r0,13.968,13.968,1,1,0,0
L2,L2-h330-B-r0-chk-absent,check-absent,L2-h330-B-r0,13.746,13.746,1,1,0,0
L3,L3-h000-A-r0-chk-away,check-away,L3-h000-A-r0,13.815,13.815,1,1,0,0
L3,L3-h030-B-r0-chk-away,check-away,L3-h030-B-r0,13.551,13.551,1,1,0,0
L3,L3-h060-C-r0-chk-away,check-away,L3-h060-C-r0,13.685,13.685,1,1,0,0
L3,L3-h090-A-r0-chk-away,check-away,L3-h090-A-r0,,,1,1,0,0
L3,L3-h120-B-r0-chk-away,check-away,L3-h120-B-r0,13.816,13.816,1,1,0,0
L3,L3-h150-C-r0-chk-away,check-away,L3-h150-C-r0,13.764,13.764,1,1,0,0
L3,L3-h180-A-r0-chk-away,check-away,L3-h180-A-r0,13.737,13.737,1,1,0,0
L3,L3-h210-B-r0-chk-away,check-away,L3-h210-B-r0,,,1,1,0,0
L3,L3-h240-C-r0-chk-away,check-away,L3-h240-C-r0,13.888,13.888,1,1,0,0
L3,L3-h270-A-r0-chk-away,check-away,L3-h270-A-r0,13.929,13.442,0,1,0,0
L3,L3-h300-B-r0-chk-away,check-away,L3-h300-B-r0,13.792,13.792,1,1,0,0
L3,L3-h330-C-r0-chk-away,check-away,L3-h330-C-r0,,,1,1,0,0
L3,L3-h000-A-r0-chk-absent,check-absent,L3-h000-A-r0,13.815,13.815,1,1,0,0
L3,L3-h030-B-r0-chk-absent,check-absent,L3-h030-B-r0,13.551,13.551,1,1,0,0
L3,L3-h060-C-r0-chk-absent,check-absent,L3-h060-C-r0,13.685,13.685,1,1,0,0
L3,L3-h090-A-r0-chk-absent,check-absent,L3-h090-A-r0,,,1,1,0,0
L3,L3-h120-B-r0-chk-absent,check-absent,L3-h120-B-r0,13.816,13.816,1,1,0,0
L3,L3-h150-C-r0-chk-absent,check-absent,L3-h150-C-r0,13.764,13.764,1,1,0,0
L3,L3-h180-A-r0-chk-absent,check-absent,L3-h180-A-r0,13.737,13.737,1,1,0,0
L3,L3-h210-B-r0-chk-absent,check-absent,L3-h210-B-r0,,,1,1,0,0
L3,L3-h240-C-r0-chk-absent,check-absent,L3-h240-C-r0,13.888,13.888,1,1,0,0
L3,L3-h270-A-r0-chk-absent,check-absent,L3-h270-A-r0,13.442,13.442,1,1,0,0
L3,L3-h300-B-r0-chk-absent,check-absent,L3-h300-B-r0,13.792,13.792,1,1,0,0
L3,L3-h330-C-r0-chk-absent,check-absent,L3-h330-C-r0,,,1,1,0,0
