layout,detector,variant,n,caught_any,caught_before_post,ppost,ppost_lo,ppost_hi,caught_before50,p50,p50_lo,p50_hi,warn_s_median,dist_m_median
L2,mulcher,alarm_m3,48,44,0,0.0,0.0,0.07410013074848033,0,0.0,0.0,0.07410013074848033,-12.509,13.8985
L2,mulcher,alarm_m5,48,44,0,0.0,0.0,0.07410013074848033,0,0.0,0.0,0.07410013074848033,-12.509,13.8985
L2,mulcher,alarm_m10,48,43,0,0.0,0.0,0.07410013074848033,0,0.0,0.0,0.07410013074848033,-12.54,13.893
L2,mulcher,alarm_m20,48,41,0,0.0,0.0,0.07410013074848033,0,0.0,0.0,0.07410013074848033,-13.545,13.384
L2,mulcher,alarm_xy5,48,46,30,0.625,0.48362763408726595,0.747847333225614,0,0.0,0.0,0.07410013074848033,0.8634999999999999,25.987000000000002
L2,mulcher,best,48,46,38,0.7916666666666666,0.6574109861051707,0.8826972709582157,0,0.0,0.0,0.07410013074848033,2.6015,29.9025
L2,lk2a,alarm_m3,48,24,24,0.5,0.36389330403275494,0.636106695967245,0,0.0,0.0,0.07410013074848033,10.5945,41.718999999999994
L2,lk2a,alarm_m5,48,24,24,0.5,0.36389330403275494,0.636106695967245,0,0.0,0.0,0.07410013074848033,10.5945,41.718999999999994
L2,lk2a,alarm_m10,48,24,24,0.5,0.36389330403275494,0.636106695967245,0,0.0,0.0,0.07410013074848033,10.545000000000002,41.674499999999995
L2,lk2a,alarm_m20,48,24,24,0.5,0.36389330403275494,0.636106695967245,0,0.0,0.0,0.07410013074848033,10.3235,41.370999999999995
L2,lk2a,alarm_xy5,48,48,24,0.5,0.36389330403275494,0.636106695967245,24,0.5,0.36389330403275494,0.636106695967245,9.149000000000001,38.3605
L2,lk2a,best,48,48,24,0.5,0.36389330403275494,0.636106695967245,24,0.5,0.36389330403275494,0.636106695967245,11.913,41.4885
L2,lk2b,alarm_m3,48,24,24,0.5,0.36389330403275494,0.636106695967245,0,0.0,0.0,0.07410013074848033,11.376000000000001,37.069
L2,lk2b,alarm_m5,48,24,24,0.5,0.36389330403275494,0.636106695967245,0,0.0,0.0,0.07410013074848033,11.376000000000001,37.069
L2,lk2b,alarm_m10,48,24,24,0.5,0.36389330403275494,0.636106695967245,0,0.0,0.0,0.07410013074848033,11.349,37.02
L2,lk2b,alarm_m20,48,24,24,0.5,0.36389330403275494,0.636106695967245,0,0.0,0.0,0.07410013074848033,10.5175,36.012
L2,lk2b,alarm_xy5,48,48,24,0.5,0.36389330403275494,0.636106695967245,24,0.5,0.36389330403275494,0.636106695967245,11.182,38.57
L2,lk2b,best,48,48,24,0.5,0.36389330403275494,0.636106695967245,24,0.5,0.36389330403275494,0.636106695967245,13.645999999999999,41.4895
L2,team,alarm_m3,48,48,48,1.0,0.9258998692515198,1.0,0,0.0,0.0,0.07410013074848033,11.006,39.3635
L2,team,alarm_m5,48,48,48,1.0,0.9258998692515198,1.0,0,0.0,0.0,0.07410013074848033,11.006,39.3635
L2,team,alarm_m10,48,48,48,1.0,0.9258998692515198,1.0,0,0.0,0.0,0.07410013074848033,10.9725,39.3285
L2,team,alarm_m20,48,48,48,1.0,0.9258998692515198,1.0,0,0.0,0.0,0.07410013074848033,10.365,38.5935
L2,team,alarm_xy5,48,48,48,1.0,0.9258998692515198,1.0,48,1.0,0.9258998692515198,1.0,27.9525,60.446
L2,team,best,48,48,48,1.0,0.9258998692515198,1.0,48,1.0,0.9258998692515198,1.0,29.298000000000002,61.0
L3,mulcher,alarm_m3,72,54,0,0.0,0.0,0.05065117335504446,0,0.0,0.0,0.05065117335504446,-11.18,13.728
L3,mulcher,alarm_m5,72,54,0,0.0,0.0,0.05065117335504446,0,0.0,0.0,0.05065117335504446,-11.18,13.728
L3,mulcher,alarm_m10,72,54,0,0.0,0.0,0.05065117335504446,0,0.0,0.0,0.05065117335504446,-11.18,13.728
L3,mulcher,alarm_m20,72,47,0,0.0,0.0,0.05065117335504446,0,0.0,0.0,0.05065117335504446,-11.204,13.685
L3,mulcher,alarm_xy5,72,58,39,0.5416666666666666,0.4273986719881113,0.6517137302323015,0,0.0,0.0,0.05065117335504446,6.674,36.361000000000004
