layout,detector,variant,n,caught_any,caught_before_post,ppost,ppost_lo,ppost_hi,caught_before50,p50,p50_lo,p50_hi,warn_s_median,dist_m_median
S1,mulcher,alarm_m3,48,0,0,0.0,0.0,0.07410013074848033,0,0.0,0.0,0.07410013074848033,,
S1,mulcher,alarm_m5,48,0,0,0.0,0.0,0.07410013074848033,0,0.0,0.0,0.07410013074848033,,
S1,mulcher,alarm_m10,48,0,0,0.0,0.0,0.07410013074848033,0,0.0,0.0,0.07410013074848033,,
S1,mulcher,alarm_m20,48,0,0,0.0,0.0,0.07410013074848033,0,0.0,0.0,0.07410013074848033,,
S1,mulcher,alarm_xy5,48,44,33,0.6875,0.5466692846999659,0.8005431662693541,0,0.0,0.0,0.07410013074848033,2.8205,26.3315
S1,mulcher,best,48,44,36,0.75,0.6121562707418944,0.8507936638838656,0,0.0,0.0,0.07410013074848033,5.192,28.451999999999998
S1,lksa,alarm_m3,48,24,24,0.5,0.36389330403275494,0.636106695967245,0,0.0,0.0,0.07410013074848033,9.556000000000001,33.434
S1,lksa,alarm_m5,48,24,24,0.5,0.36389330403275494,0.636106695967245,0,0.0,0.0,0.07410013074848033,9.556000000000001,33.434
S1,lksa,alarm_m10,48,24,24,0.5,0.36389330403275494,0.636106695967245,0,0.0,0.0,0.07410013074848033,9.376000000000001,33.271
S1,lksa,alarm_m20,48,24,24,0.5,0.36389330403275494,0.636106695967245,0,0.0,0.0,0.07410013074848033,8.806000000000001,32.533
S1,lksa,alarm_xy5,48,48,27,0.5625,0.42275017314264846,0.6929873105137916,24,0.5,0.36389330403275494,0.636106695967245,13.612,41.36
S1,lksa,best,48,48,28,0.5833333333333334,0.4428133217663204,0.7115033231089329,24,0.5,0.36389330403275494,0.636106695967245,14.263000000000002,42.1875
S1,lksb,alarm_m3,48,24,24,0.5,0.36389330403275494,0.636106695967245,0,0.0,0.0,0.07410013074848033,9.64,39.185
S1,lksb,alarm_m5,48,24,24,0.5,0.36389330403275494,0.636106695967245,0,0.0,0.0,0.07410013074848033,9.64,39.185
S1,lksb,alarm_m10,48,24,24,0.5,0.36389330403275494,0.636106695967245,0,0.0,0.0,0.07410013074848033,9.5695,39.1525
S1,lksb,alarm_m20,48,24,24,0.5,0.36389330403275494,0.636106695967245,0,0.0,0.0,0.07410013074848033,8.9355,38.224999999999994
S1,lksb,alarm_xy5,48,48,25,0.5208333333333334,0.3832923220175111,0.6552868392013023,24,0.5,0.36389330403275494,0.636106695967245,13.385,41.4405
S1,lksb,best,48,48,29,0.6041666666666666,0.4631040838356026,0.729791722258464,24,0.5,0.36389330403275494,0.636106695967245,14.5815,42.891
S1,team,alarm_m3,48,48,48,1.0,0.9258998692515198,1.0,0,0.0,0.0,0.07410013074848033,9.582,36.356
S1,team,alarm_m5,48,48,48,1.0,0.9258998692515198,1.0,0,0.0,0.0,0.07410013074848033,9.582,36.356
S1,team,alarm_m10,48,48,48,1.0,0.9258998692515198,1.0,0,0.0,0.0,0.07410013074848033,9.5075,36.248999999999995
S1,team,alarm_m20,48,48,48,1.0,0.9258998692515198,1.0,0,0.0,0.0,0.07410013074848033,8.904499999999999,35.445
S1,team,alarm_xy5,48,48,48,1.0,0.9258998692515198,1.0,48,1.0,0.9258998692515198,1.0,25.8375,55.456999999999994
S1,team,best,48,48,48,1.0,0.9258998692515198,1.0,48,1.0,0.9258998692515198,1.0,26.6095,57.4765
