session,layout,walk,mode,entry,heading_deg,repeat,along_m,across_m,lookouts_present,matches,n_steps,s_start,bearing20_deg,in_wedge,mulcher_alarm_step,mulcher_alarm_t_s,mulcher_alarm_x,mulcher_alarm_y,mulcher_alarm_dist_m,mulcher_alarm_warn_s,mulcher_alarm_before_post,mulcher_alarm_before50,mulcher_best_step,mulcher_best_t_s,mulcher_best_x,mulcher_best_y,mulcher_best_dist_m,mulcher_best_warn_s,mulcher_best_before_post,mulcher_best_before50,lk3a_alarm_step,lk3a_alarm_t_s,lk3a_alarm_x,lk3a_alarm_y,lk3a_alarm_dist_m,lk3a_alarm_warn_s,lk3a_alarm_before_post,lk3a_alarm_before50,lk3a_best_step,lk3a_best_t_s,lk3a_best_x,lk3a_best_y,lk3a_best_dist_m,lk3a_best_warn_s,lk3a_best_before_post,lk3a_best_before50,lk3b_alarm_step,lk3b_alarm_t_s,lk3b_alarm_x,lk3b_alarm_y,lk3b_alarm_dist_m,lk3b_alarm_warn_s,lk3b_alarm_before_post,lk3b_alarm_before50,lk3b_best_step,lk3b_best_t_s,lk3b_best_x,lk3b_best_y,lk3b_best_dist_m,lk3b_best_warn_s,lk3b_best_before_post,lk3b_best_before50,lk3c_alarm_step,lk3c_alarm_t_s,lk3c_alarm_x,lk3c_alarm_y,lk3c_alarm_dist_m,lk3c_alarm_warn_s,lk3c_alarm_before_post,lk3c_alarm_before50,lk3c_best_step,lk3c_best_t_s,lk3c_best_x,lk3c_best_y,lk3c_best_dist_m,lk3c_best_warn_s,lk3c_best_before_post,lk3c_best_before50,team_alarm_step,team_alarm_t_s,team_alarm_x,team_alarm_y,team_alarm_dist_m,team_alarm_warn_s,team_alarm_before_post,team_alarm_before50,team_best_step,team_best_t_s,team_best_x,team_best_y,team_best_dist_m,team_best_warn_s,team_best_before_post,team_best_before50,team_alarm_first_by,team_best_first_by,fa_mulcher,fa_lk3a,fa_lk3b,fa_lk3c,linked_at_alarm_lk3a,linked_at_alarm_lk3b,linked_at_alarm_lk3c,hold_max_dpos_m_lk3a,hold_max_dpos_m_lk3b,hold_max_dpos_m_lk3c,hold_max_dang_deg_lk3a,hold_max_dang_deg_lk3b,hold_max_dang_deg_lk3c,retries,wall_s,sim_steps
20260924T045957,L3,L3-h000-A-r0,full,A,0,0,-0.476,0.06,1,L3-h000-A-r0,126,84.95,97.72,0,118,45.385,-0.792,13.792,13.815,-11.136,0,0,71,27.308,-4.638,36.567,36.86,6.941,1,0,61,23.462,-4.048,41.527,41.724,10.788,1,0,18,6.923,0.708,62.475,62.479,27.326,1,1,,,,,,,0,0,121,46.538,-0.413,12.338,12.345,-12.289,0,0,,,,,,,0,0,,,,,,,0,0,61,23.462,-4.048,41.527,41.724,10.788,1,0,18,6.923,0.708,62.475,62.479,27.326,1,1,lk3a,lk3a,0,0,0,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0,163.6,126
20260924T045957,L3,L3-h000-A-r1,full,A,0,1,4.242,-0.034,1,L3-h000-A-r1,136,80.232,98.12,0,128,49.231,-0.81,13.496,13.52,-11.352,0,0,79,30.385,-4.671,37.29,37.582,7.494,1,0,70,26.923,-4.11,41.757,41.959,10.955,1,0,26,10.0,0.796,63.195,63.2,27.879,1,1,,,,,,,0,0,129,49.615,-0.68,13.013,13.031,-11.737,0,0,,,,,,,0,0,,,,,,,0,0,70,26.923,-4.11,41.757,41.959,10.955,1,0,26,10.0,0.796,63.195,63.2,27.879,1,1,lk3a,lk3a,0,0,0,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0,169.4,136
20260924T045957,L3,L3-h000-B-r0,full,B,0,0,0.078,0.087,1,L3-h000-B-r0,127,84.186,-150.21,0,119,45.769,-11.802,-7.14,13.793,-11.094,0,0,86,33.077,-27.218,-12.715,30.042,1.599,1,0,,,,,,,0,0,120,46.154,-11.38,-6.872,13.294,-11.478,0,0,62,23.846,-38.481,-16.867,42.015,10.83,1,0,18,6.923,-57.075,-28.528,63.807,27.753,1,1,,,,,,,0,0,122,46.923,-10.552,-6.324,12.302,-12.247,0,0,62,23.846,-38.481,-16.867,42.015,10.83,1,0,18,6.923,-57.075,-28.528,63.807,27.753,1,1,lk3b,lk3b,0,0,0,0,,1,,0.0,0.0,0.0,0.0,0.0,0.0,0,146.2,127
20260924T045957,L3,L3-h000-B-r1,full,B,0,1,-3.153,0.012,1,L3-h000-B-r1,121,87.417,-149.91,0,113,43.462,-11.566,-7.079,13.56,-11.272,0,0,77,29.615,-28.404,-13.174,31.311,2.574,1,0,,,,,,,0,0,113,43.462,-11.566,-7.079,13.56,-11.272,0,0,56,21.538,-38.238,-16.844,41.783,10.651,1,0,11,4.231,-57.232,-28.758,64.051,27.959,1,1,,,,,,,0,0,113,43.462,-11.566,-7.079,13.56,-11.272,0,0,56,21.538,-38.238,-16.844,41.783,10.651,1,0,11,4.231,-57.232,-28.758,64.051,27.959,1,1,lk3b,lk3b,0,0,0,0,,1,,0.0,0.0,0.0,0.0,0.0,0.0,0,144.9,121
20260924T045957,L3,L3-h000-C-r0,full,C,0,0,1.299,0.293,1,L3-h000-C-r0,130,83.077,-38.94,0,,,,,,,0,0,97,37.308,20.475,-16.031,26.004,-1.693,0,0,,,,,,,0,0,124,47.692,10.214,-7.18,12.485,-12.078,0,0,,,,,,,0,0,126,48.462,9.544,-6.431,11.509,-12.847,0,0,64,24.615,36.313,-20.708,41.802,10.999,1,0,23,8.846,55.685,-27.219,61.982,26.768,1,1,64,24.615,36.313,-20.708,41.802,10.999,1,0,23,8.846,55.685,-27.219,61.982,26.768,1,1,lk3c,lk3c,0,0,0,0,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0,164.1,130
20260924T045957,L3,L3-h000-C-r1,full,C,0,1,-4.059,-0.197,1,L3-h000-C-r1,119,88.435,-37.44,0,,,,,,,0,0,91,35.0,18.66,-14.417,23.581,-3.507,0,0,,,,,,,0,0,112,43.077,11.009,-7.321,13.221,-11.584,0,0,,,,,,,0,0,115,44.231,10.004,-6.211,11.775,-12.738,0,0,53,20.385,36.58,-20.273,41.822,11.109,1,0,10,3.846,56.928,-27.241,63.11,27.647,1,1,53,20.385,36.58,-20.273,41.822,11.109,1,0,10,3.846,56.928,-27.241,63.11,27.647,1,1,lk3c,lk3c,0,0,0,0,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0,147.4,119
20260924T045957,L3,L3-h030-A-r0,full,A,30,0,-4.093,0.31,1,L3-h030-A-r0,119,88.567,66.93,0,111,42.692,-0.521,13.744,13.754,-11.226,0,0,77,29.615,-4.69,29.969,30.334,1.851,1,0,54,20.769,-3.817,41.375,41.551,10.697,1,0,12,4.615,0.794,61.815,61.82,26.851,1,1,,,,,,,0,0,112,43.077,-0.391,13.261,13.267,-11.61,0,0,,,,,,,0,0,,,,,,,0,0,54,20.769,-3.817,41.375,41.551,10.697,1,0,12,4.615,0.794,61.815,61.82,26.851,1,1,lk3a,lk3a,0,0,0,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0,159.1,119
20260924T045957,L3,L3-h030-A-r1,full,A,30,1,1.934,-0.458,1,L3-h030-A-r1,131,82.54,69.42,0,123,47.308,-1.269,13.572,13.631,-11.204,0,0,93,35.769,-5.424,27.984,28.505,0.334,1,0,66,25.385,-4.573,41.513,41.764,10.719,1,0,18,6.923,0.806,64.939,64.944,29.18,1,1,,,,,,,0,0,124,47.692,-1.14,13.089,13.138,-11.589,0,0,,,,,,,0,0,130,50.0,-0.505,10.187,10.199,-13.897,0,0,66,25.385,-4.573,41.513,41.764,10.719,1,0,18,6.923,0.806,64.939,64.944,29.18,1,1,lk3a,lk3a,0,0,0,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0,158.9,131
20260924T045957,L3,L3-h030-B-r0,full,B,30,0,4.822,0.465,1,L3-h030-B-r0,137,79.442,178.64,0,129,49.615,-11.788,-6.684,13.551,-11.291,0,0,81,31.154,-34.206,-14.708,37.234,7.171,1,0,,,,,,,0,0,126,48.462,-13.019,-7.467,15.009,-10.137,0,0,72,27.692,-38.396,-16.418,41.759,10.632,1,0,26,10.0,-57.887,-28.715,64.618,28.325,1,1,,,,,,,0,0,128,49.231,-12.21,-6.953,14.05,-10.906,0,0,72,27.692,-38.396,-16.418,41.759,10.632,1,0,26,10.0,-57.887,-28.715,64.618,28.325,1,1,lk3b,lk3b,0,0,0,0,,1,,0.0,0.0,0.0,0.0,0.0,0.0,0,251.8,137
20260924T045957,L3,L3-h030-B-r1,full,B,30,1,1.539,0.116,1,L3-h030-B-r1,130,82.725,179.72,0,122,46.923,-11.784,-7.095,13.755,-11.124,0,0,73,28.077,-34.758,-15.292,37.973,7.722,1,0,,,,,,,0,0,123,47.308,-11.362,-6.827,13.255,-11.508,0,0,66,25.385,-37.997,-16.626,41.476,10.415,1,0,21,8.077,-57.063,-28.482,63.776,27.722,1,1,,,,,,,0,0,124,47.692,-10.94,-6.558,12.755,-11.893,0,0,66,25.385,-37.997,-16.626,41.476,10.415,1,0,21,8.077,-57.063,-28.482,63.776,27.722,1,1,lk3b,lk3b,0,0,0,0,,1,,0.0,0.0,0.0,0.0,0.0,0.0,0,170.4,130
