x,y
-25.069,90.632
3.722,141.776
110.768,19.145
-127.434,-15.096
-142.800,-14.230
-20.766,-31.799
122.682,49.934
14.249,90.784
97.122,-104.732
-12.925,-92.406
-48.577,-50.125
-149.008,-22.867
-104.258,59.928
-3.612,61.785
50.629,-15.344
24.385,-111.379
129.206,-55.302
-5.473,38.018
63.946,123.079
-107.150,-7.129
95.377,48.688
-53.203,-44.535
4.554,80.092
70.388,107.342
72.819,32.644
-115.018,-25.152
40.771,-68.932
-119.303,-13.950
26.765,117.656
-11.493,-15.696
135.089,53.213
81.541,-102.905
93.622,-45.712
-97.967,-37.917
120.816,60.966
17.814,-6.321
-83.405,19.600
88.757,36.580
-147.106,37.407
133.441,-39.465
-61.514,91.461
-19.026,26.288
-33.550,-43.125
-73.845,110.235
39.844,-31.893
18.444,-135.528
129.384,27.183
120.503,20.649
138.681,-45.451
76.977,-90.527
-113.052,55.062
-108.341,-63.359
37.759,-18.266
-44.847,147.856
36.802,32.588
40.698,-93.333
5.881,41.492
-86.870,-104.446
32.103,153.931
-86.360,-57.138
48.252,29.106
11.986,-23.772
-53.625,90.350
64.320,42.194
-9.135,88.108
-28.822,43.224
-30.605,108.165
100.382,-74.388
78.897,97.563
-43.596,-137.524
24.462,156.821
103.570,-38.776
71.325,-84.822
32.441,50.469
57.923,-83.352
-57.025,148.062
-86.733,119.005
-37.205,18.327
-72.011,-114.050
-135.004,41.302
-81.509,-93.667
-49.059,-116.150
-74.010,77.001
33.414,-51.159
-90.926,60.051
43.086,89.907
9.054,104.250
19.425,143.093
68.418,47.405
10.359,28.509
3.970,60.220
48.525,146.466
45.129,-83.468
-11.300,-74.476
-116.345,-2.639
-14.248,117.545
32.424,-25.646
-5.631,-26.071
55.179,51.257
-29.314,57.838
22.253,99.567
21.129,-142.100
-42.819,-15.409
-107.175,75.840
23.071,-1.440
102.787,108.218
-52.232,4.774
8.618,-153.249
110.522,76.034
-34.035,122.873
103.264,-1.231
26.579,72.483
-32.625,86.340
40.417,-130.575
134.541,67.370
-154.826,33.075
-127.433,-60.990
-40.248,2.066
-140.028,67.835
-16.368,-129.915
99.528,-48.817
53.332,130.500
-19.789,-46.359
-27.452,-115.801
143.354,-22.715
7.877,-117.635
17.313,-64.360
110.779,-25.150
-100.297,83.767
-38.079,136.841
-46.427,-41.363
6.162,-45.140
87.845,-108.199
-45.289,-97.590
118.494,90.708
60.121,-134.160
-88.132,105.606
95.225,1.930
72.795,-100.514
-52.892,-110.515
-26.768,-124.572
-98.931,33.302
-106.834,-82.634
9.020,-109.251
-54.863,33.726
-82.257,78.184
47.757,-46.775
96.360,84.093
56.504,-106.467
103.201,116.487
126.043,-65.998
-148.217,59.422
-38.945,-149.228
-10.360,65.177
124.141,83.893
62.653,97.259
68.585,-44.479
-48.384,-61.182
-64.924,137.485
1.339,-51.690
106.132,30.659
9.410,155.264
-158.634,4.251
-129.427,11.164
-43.102,-85.054
-106.829,-46.188
-5.557,-63.565
-151.814,2.738
-23.194,12.970
-147.080,18.813
6.487,-128.829
-142.070,-3.926
-54.876,-130.496
-56.244,68.212
-14.290,-3.006
-27.419,-59.258
-131.373,68.188
155.856,29.082
31.673,109.067
-15.644,-62.654
-106.101,-91.568
-2.765,-92.590
138.852,46.871
43.806,115.281
-15.859,-147.733
-32.990,36.731
-100.460,-5.614
121.123,-92.718
-130.710,53.015
59.145,-28.270
36.618,-152.849
-148.239,29.366
-94.925,-113.013
62.406,146.222
144.554,37.184
150.693,51.734
-8.404,25.207
69.038,-92.981
14.362,-78.060
130.370,-18.187
-1.854,136.589
100.703,-13.293
-59.720,-106.232
98.024,66.736
93.680,-7.311
70.001,25.204
42.054,1.105
-19.564,-116.268
9.999,-30.834
-118.689,36.472
150.584,4.684
-91.549,34.312
5.067,-79.907
-118.852,-86.481
70.872,57.004
-29.281,-98.932
79.236,-138.972
-45.596,96.432
53.784,-147.917
116.357,37.040
-77.402,-30.983
44.590,-153.592
107.283,91.022
74.475,0.805
-133.617,81.370
-26.873,-86.610
124.477,75.794
-153.244,-36.147
-11.786,94.386
-122.656,94.247
7.553,-18.599
101.338,-119.829
110.279,112.142
37.989,111.809
4.847,68.337
-130.348,-77.458
-21.207,34.696
-10.600,144.350
-29.605,98.578
-68.154,29.549
107.282,-12.930
23.671,-94.065
39.239,46.667
-76.159,40.159
-39.319,30.298
118.293,-2.388
-93.261,69.155
75.673,124.721
137.423,24.906
-38.734,78.586
94.327,118.898
-0.521,111.861
49.277,83.090
62.679,2.106
28.645,-6.075
42.940,65.937
14.903,-105.003
-86.729,98.917
-94.175,-3.836
-109.843,93.718
-73.153,-15.951
51.740,-137.713
12.900,131.716
-85.294,-22.003
-31.456,64.149
17.042,-34.927
-67.304,-57.149
46.451,-6.472
-147.766,-58.293
27.865,143.703
-11.690,-106.901
57.503,-59.240
81.907,46.135
-34.904,-27.015
90.195,94.137
-75.376,-137.092
125.133,-23.642
56.683,-93.372
-64.441,79.630
110.513,-69.534
113.866,96.464
-51.694,-9.561
95.859,16.489
124.727,9.266
5.750,130.205
-33.542,-82.883
-109.134,-110.447
60.283,111.776
92.525,104.308
-79.409,60.379
-14.196,49.824
29.157,-35.697
-17.949,-140.033
-63.494,-46.782
-24.466,-150.924
44.152,36.426
131.563,10.010
-28.378,71.903
74.193,139.475
75.300,79.166
-63.823,-123.000
-112.781,20.916
34.497,-115.537
59.461,25.156
-38.704,61.503
-56.948,-97.094
-64.199,9.082
-73.556,119.330
55.684,99.349
-92.662,-53.563
104.798,-19.972
-0.548,76.017
-6.776,158.132
-132.673,-67.890
62.136,130.393
-98.335,-21.971
113.827,69.310
44.758,-60.226
69.239,-128.928
110.944,-90.371
-47.927,86.618
-5.455,48.284
-66.850,-90.236
31.760,-122.123
-56.791,-80.573
-36.266,-142.074
82.122,-62.662
9.226,-97.927
117.759,-44.969
95.765,-125.953
93.225,-14.973
-78.867,-80.479
-13.721,42.732
132.877,-8.982
-76.398,70.725
-73.539,130.286
72.482,-9.338
-101.499,116.900
33.319,-62.313
111.167,62.091
49.198,-31.125
-1.746,55.210
-138.940,-33.386
158.384,15.541
-142.068,-71.618
62.975,-20.523
-137.544,-9.759
-56.043,132.970
-123.856,77.352
104.907,-28.789
-104.957,-16.342
24.310,39.012
54.559,19.080
91.860,28.309
-80.188,-121.724
-5.293,-33.279
-128.856,28.388
-38.440,-128.524
-66.963,-22.078
30.447,-85.565
72.286,116.374
-25.406,50.449
-60.574,-5.985
-7.717,-128.593
-57.683,125.544
45.932,-74.754
-19.392,155.589
-117.256,-44.356
11.672,-12.787
-155.004,15.935
-27.595,132.690
48.171,15.456
87.629,-52.411
149.817,-37.897
-96.962,-77.356
77.496,24.920
-27.139,20.058
-52.845,97.667
-85.619,-133.039
-41.606,52.460
-76.839,-4.472
-10.650,74.394
-91.344,-82.079
-78.329,25.458
69.567,15.055
89.426,67.664
-19.629,-70.083
81.983,133.011
-10.250,-86.406
83.306,124.426
-1.897,-15.504
67.717,-110.469
-122.079,-35.882
-12.853,57.962
-17.985,-53.229
-78.132,84.534
64.776,-103.687
-20.727,70.094
-16.373,-80.365
-53.626,43.182
-0.391,-40.442
34.622,-103.400
-83.095,-48.719
-132.096,-84.291
-85.811,-7.968
-96.780,6.048
-125.312,-53.776
131.400,-47.606
83.583,-39.420
-70.984,-70.340
84.526,-131.464
-147.358,-31.715
22.509,-78.675
142.327,65.533
122.267,-74.253
-91.324,-31.973
-6.848,-44.724
-125.337,-7.857
-113.677,65.020
52.760,-53.853
148.294,45.381
130.198,19.052
112.128,2.206
-20.999,-2.423
-57.986,-63.235
36.600,-5.490
-8.008,-155.611
-87.732,0.958
-112.065,-78.529
132.954,-28.583
-138.700,27.369
2.683,-59.992
116.145,-109.264
-57.927,52.151
